MOVIE_EARNINGS_RANK;MOVIE_GENRE;MOVIE_NAME;MOVIE_RATING;MOVIE_RUNTIME;MOVIE_YEAR;PERSON_DOB;PERSON_NAME;PERSON_POB;MID;REV
;C;Beginners;R;105;2011;1983-02-21;Melanie Laurent;Paris, France;d9e6a7ae2363d6cfe81af75a3920cf3e;1-8fcb44ab6423f0c4bef7333bae435b3e
;D;Julia;PG;118;1977;1937-01-30;Vanessa Redgrave;London, England, UK;d9e6a7ae2363d6cfe81af75a393c08f5;1-9c3b18cf6873bfd3928b78fcd9f77500
;ADT;Fast & Furious;PG-13;107;2009;1967-07-18;Vin Diesel;New York, New York, USA;d9e6a7ae2363d6cfe81af75a393c7096;1-8dbe037f0a31868436d52a643e7875ca
;D;American Beauty;R;122;1999;1979-02-09;Mena Suvari;Newport, Rhode Island, USA;d9e6a7ae2363d6cfe81af75a3920ef2e;1-59ab02e59afb7e33b423f70dc5939916
;VNCF;Over the Hedge;PG;83;2006;1964-03-07;Wanda Sykes;Portsmouth, Virginia, USA;d9e6a7ae2363d6cfe81af75a393df8aa;1-563e30acc4eb997754dbe038b65a22c9
;D;Hours, The;PG-13;114;2002;1949-06-22;Meryl Streep;Summit, New Jersey, USA;d9e6a7ae2363d6cfe81af75a392113bf;1-4f8da0edd24a6638295c7da964dcab75
;CDR;Hannah and Her Sisters;PG-13;103;1986;1945-02-09;Mia Farrow;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a392136d1;1-f96656773e79188fb580650e97789f2c
;CFY;Santa Clause, The;PG;97;1994;1956-05-09;Wendy Crewson;Hamilton, Ontario, Canada;d9e6a7ae2363d6cfe81af75a393e5260;1-f971736fc084c5ead4c933b036407aa2
;DR;Bonnie and Clyde;;111;1967;1939-05-30;Michael J. Pollard;Passaic, New Jersey, USA;d9e6a7ae2363d6cfe81af75a3921f8a6;1-4557443f1dc916a45a05c185117baf25
;VCDS;Cocoon;PG-13;117;1985;1924-09-27;Wilford Brimley;Salt Lake City, Utah, USA;d9e6a7ae2363d6cfe81af75a393ebb5e;1-03107cdf6de91b99001b7418886775ce
;DR;Out of Africa;PG;150;1985;1948-10-31;Michael Kitchen;Leicester, Leicestershire, England, UK;d9e6a7ae2363d6cfe81af75a39221464;1-aef2d1d2d0631362fdd9bcd0c36a6b44
;CDFLR;My Fair Lady;G;170;1964;1903-05-12;Wilfrid Hyde-White;Bourton-on-the-Water, Gloucestershire, England, UK;d9e6a7ae2363d6cfe81af75a393ecc6f;1-f70e3485b0e68a40b422de67638d9637
;D;Harry and Tonto;R;115;1974;1959-08-18;Michael McCleery;Chicago, Illinois, USA;d9e6a7ae2363d6cfe81af75a392216b2;1-c58bbba9cf9fca923c377dd2c5d2d81a
;DT;Traffic;R;147;2000;1976-07-11;Michael Saucedo;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a39224c28;1-2a3649ee8c4fa61cbf3afabdc377c861
;C;Sunshine Boys, The;PG;111;1975;1920-10-01;Walter Matthau;New York City, New York, USA;d9e6a7ae2363d6cfe81af75a393dbef6;1-c6f60f48f11060bb2faf2744865da8f6
;CDR;Butterflies Are Free;PG;109;1972;1946-03-05;Michael Warren;South Bend, Indiana, USA;d9e6a7ae2363d6cfe81af75a392263d0;1-7c06c304b04037c8ea4aeb61ad548833
;CR;Shampoo;R;109;1975;1937-03-30;Warren Beatty;Richmond, Virginia, USA;d9e6a7ae2363d6cfe81af75a393e2e7f;1-436d9312ccbfeb5f64ff8a4b9a4c32bc
;DLW;Cabaret;PG;124;1972;1942-03-27;Michael York;Fulmer, Buckinghamshire, England, UK;d9e6a7ae2363d6cfe81af75a39227239;1-dc2e8a8a7d7f75f495773d3b3a5be494
;AVT;Mission: Impossible III;PG-13;126;2006;1976-03-23;Michelle Monaghan;Winthrop, Iowa, USA;d9e6a7ae2363d6cfe81af75a39227750;1-32c06cb302a8484e379dae2420efe1c4
;AYRT;Batman Returns;PG-13;126;1992;1958-04-29;Michelle Pfeiffer;Santa Ana, California, USA;d9e6a7ae2363d6cfe81af75a39227d75;1-5aab8d20e60810816a9bd6e75c07ec17
;AC;Sister Act;PG;100;1992;1955-11-13;Whoopi Goldberg;New York, New York, USA;d9e6a7ae2363d6cfe81af75a393eb44a;1-20a4234d403cfcde44cd1cd84af0de87
;DR;English Patient, The;R;160;1996;1955-07-22;Willem Dafoe;Appleton, Wisconsin, USA;d9e6a7ae2363d6cfe81af75a393f61d6;1-ca9a78d419ce4b4633c5c47b21de5853
;DF;National Velvet;G;123;1944;1920-09-23;Mickey Rooney;Brooklyn, New York, USA;d9e6a7ae2363d6cfe81af75a3922bf9e;1-37774958283827ca2677faf73b3debed
;CD;Network;R;120;1976;1918-04-17;William Holden;O'Fallon, Illinois, USA;d9e6a7ae2363d6cfe81af75a393fca72;1-143dee968f2c135a2ee416878590c634
;VNCF;Over the Hedge;PG;83;2006;1931-03-22;William Shatner;Montreal, Quebec, Canada;d9e6a7ae2363d6cfe81af75a394059c0;1-978588d18d7e7ff80836e7c57d623f9d
;NCF;Shark Tale;PG;90;2004;1968-09-25;Will Smith;Philadelphia, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a393f1f8d;1-debe58452891795e4137f2af3e535d1d
;D;Good Will Hunting;R;126;1997;1970-01-31;Minnie Driver;London, England, UK;d9e6a7ae2363d6cfe81af75a392346db;1-6d4e6e57e1166b14e9f9e4b3fe53abb8
;D;Affliction;R;114;1997;1955-07-22;Willem Dafoe;Appleton, Wisconsin, USA;d9e6a7ae2363d6cfe81af75a393f4c95;1-630c921c61da43bea4647c31bd845baa
;CR;Annie Hall;PG;93;1977;1935-12-01;Woody Allen;Brooklyn, New York, USA;d9e6a7ae2363d6cfe81af75a39407ee3;1-d2c3d697475c799ad895cd37661a02b3
;CT;Fargo;R;98;1996;1950-03-13;William H. Macy;Miami, Florida, USA;d9e6a7ae2363d6cfe81af75a393fac31;1-abff0641fe33edad52383a9cc45c3b2f
;DLR;Funny Girl;G;151;1968;1932-04-10;Omar Sharif;Alexandria, Egypt;d9e6a7ae2363d6cfe81af75a392680f0;1-4e31e08e0bc0551e2e23d3e60431a4a4
;DT;No Country for Old Men;R;122;2007;1961-07-23;Woody Harrelson;Midland, Texas, USA;d9e6a7ae2363d6cfe81af75a39408b24;1-6bac6bef5e274dfd475c1f1131b57a38
;VDW;Bridge on the River Kwai, The;PG;161;1957;1918-04-17;William Holden;O'Fallon, Illinois, USA;d9e6a7ae2363d6cfe81af75a393fd6ab;1-f357c3976d1b4dd373f03de1c6e3ef62
