MOVIE_EARNINGS_RANK;MOVIE_GENRE;MOVIE_NAME;MOVIE_RATING;MOVIE_RUNTIME;MOVIE_YEAR;PERSON_DOB;PERSON_NAME;PERSON_POB;MID;REV
;CFY;Harvey;;104;1950;1886-01-03;Josephine Hull;Newtonville, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a3912acb2;1-5a6e11a31c66c2c596eb5e543e6fdc0d
;DR;Place in the Sun, A;;122;1951;1923-02-07;Keefe Brasselle;Elyria, Ohio, USA;d9e6a7ae2363d6cfe81af75a391642aa;1-4e602d2e3a13e8b1fdfd8369a55d5647
;D;V.I.P.s, The;;119;1963;1892-05-11;Margaret Rutherford;Balham, London, England, UK;d9e6a7ae2363d6cfe81af75a391d73dc;1-c2cdedd8e9f04099c901e2eee8a6f06e
;DR;How Green Was My Valley;;118;1941;1920-08-17;Maureen O'Hara;Ranelagh, County Dublin, Ireland (now Ranelagh, Dublin, Ireland);d9e6a7ae2363d6cfe81af75a391fea1c;1-ef514ab30bf8d9275c54370302b10446
;DR;Rose Tattoo, The;;117;1955;1932-06-19;Marisa Pavan;Cagliari, Sardinia, Italy;d9e6a7ae2363d6cfe81af75a391db406;1-2983d3ab4f55ea07d177e7c2dbc93819
;CDFYR;Miracle on 34th Street;;96;1947;1920-08-17;Maureen O'Hara;Ranelagh, County Dublin, Ireland (now Ranelagh, Dublin, Ireland);d9e6a7ae2363d6cfe81af75a391ff689;1-30d4acafcf0a317415ee359d9c9b27dc
;D;Barefoot Contessa, The;;128;1954;1912-05-23;Marius Goring;Newport, Isle of Wight, England, UK;d9e6a7ae2363d6cfe81af75a391dd46b;1-77286c4fd331cc94dca8a09e79c590be
;CD;Min and Bill;;66;1930;1889-07-15;Marjorie Rambeau;San Francisco, California, USA;d9e6a7ae2363d6cfe81af75a391dd5cd;1-a950626a2133d5fa4076bdadb3186889
;D;None But the Lonely Heart;;113;1944;1918-05-14;June Duprez;Teddington, Middlesex, England, UK;d9e6a7ae2363d6cfe81af75a391469e4;1-f14659f72c8246e95a6b8e0b36ec3ae1
;D;Judgment at Nuremberg;;178;1961;1901-12-27;Marlene Dietrich;Schoneberg, Germany;d9e6a7ae2363d6cfe81af75a391e38ba;1-7d924081c3e8a8351c406afef8c29c2e
;DR;Sayonara;;147;1957;1912-09-22;Martha Scott;Jamesport, Missouri, USA;d9e6a7ae2363d6cfe81af75a391e7f19;1-41aea0ba33cf139a4c1c62556680bf7d
;CDR;Thousand Clowns, A;;118;1965;1914-11-04;Martin Balsam;The Bronx, New York, USA;d9e6a7ae2363d6cfe81af75a391e957f;1-22296c011d8cce43ad5a51e0196e1992
;D;Bad and the Beautiful, The;;118;1952;1916-12-09;Kirk Douglas;Amsterdam, New York, USA;d9e6a7ae2363d6cfe81af75a3917b660;1-23beb63ce4da0922b2f0d046da3dd055
;DHT;Rosemary's Baby;;136;1968;1945-02-09;Mia Farrow;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a39213cbf;1-1140e3e9e0a03f3541c8d7e5c676226d
;VNCF;Horton Hears a Who!;;88;2008;1962-08-16;Steve Carell;Concord, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a393644c3;1-9a8ab26c6d5d48be302fbbb469235c93
;D;Private Life of Henry VIII., The;;97;1933;1874-05-16;Laurence Hanray;London, England, UK;d9e6a7ae2363d6cfe81af75a3918fe38;1-85d1c3f47e19bdb4022952d7ae3ee7bb
;D;BUtterfield 8;;109;1960;1928-10-01;Laurence Harvey;Jonischkis, Lithuania;d9e6a7ae2363d6cfe81af75a39191f40;1-eb2a38be2269e8c15fced76f11bb0b55
;CDR;Fortune Cookie, The;;125;1966;1938-10-29;Ron Rich;Pittsburgh, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a39310e55;1-b88bcd2f3d3141c0aebfbe97d2c74488
;D;I Want to Live!;;120;1958;1918-06-30;Susan Hayward;Brooklyn, New York, USA;d9e6a7ae2363d6cfe81af75a3936d0fa;1-4758c1f1ce71277abfa1221219c0f90a
;DRT;Hamlet;;155;1948;1907-05-22;Laurence Olivier;Dorking, Surrey, England, UK;d9e6a7ae2363d6cfe81af75a39192300;1-c6426bcd0a9a11ebac01fa7ea880c793
;D;Double Life, A;;104;1947;1891-02-09;Ronald Colman;Richmond, Surrey, England, UK;d9e6a7ae2363d6cfe81af75a393124de;1-7e34216ddf90c06f893c2d5b12c55967
;CR;Two Arabian Knights;;90;1927;1885-01-01;Michael Vavitch;Odessa, Ukraine, Russian Empire. [now independent Ukraine];d9e6a7ae2363d6cfe81af75a39225c25;1-d741bc858795b9fb368e9c57445512d3
;D;Song of Bernadette, The;;156;1943;1911-12-08;Lee J. Cobb;New York, New York, USA;d9e6a7ae2363d6cfe81af75a391966ba;1-b7f3be0893e6bd0785865c600716e3e7
;C;Farmer's Daughter, The;;97;1947;1906-05-01;Rose Hobart;New York, New York, USA;d9e6a7ae2363d6cfe81af75a39318bc5;1-55522eebd966c2f347c01b82634df798
;DW;Diary of Anne Frank, The;;180;1959;1938-05-12;Millie Perkins;Passaic, New Jersey, USA;d9e6a7ae2363d6cfe81af75a39232381;1-0254446c5ebf2426bcf2ffad5872f6a2
;DR;Heiress, The;;115;1949;1902-10-18;Miriam Hopkins;Bainbridge, Georgia, USA;d9e6a7ae2363d6cfe81af75a39237c36;1-42bab50b9ad940b3e8d9f3fe360ab556
;DRW;Mrs. Miniver;;134;1942;1918-10-27;Teresa Wright;New York, New York, USA;d9e6a7ae2363d6cfe81af75a3937a390;1-e6e7fd577d3d3d64002a7fe4a50ccc21
;CDF;Skippy;;85;1931;1920-10-22;Mitzi Green;The Bronx, New York, USA;d9e6a7ae2363d6cfe81af75a3923a7a6;1-fa39e4691757828de924d8290261486d
;DR;Sayonara;;147;1957;1929-04-03;Miyoshi Umeki;Otaru, Hokkaido, Japan;d9e6a7ae2363d6cfe81af75a3923b16e;1-5cd3a3cc7a2e41c946aa514239ed6db9
;D;I Want to Live!;;120;1958;1924-05-02;Theodore Bikel;Vienna, Austria;d9e6a7ae2363d6cfe81af75a393806b3;1-a45fe1b92358e3d5cf41577761f3f63d
;D;Johnny Belinda;;102;1948;1908-12-28;Lew Ayres;Minneapolis, Minnesota, USA;d9e6a7ae2363d6cfe81af75a391a6ea9;1-00315b655fda1a31ef2ec7c2742ce647
;DHT;Rosemary's Baby;;136;1968;1896-10-30;Ruth Gordon;Quincy, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a3932407c;1-0ccaa4a5cf0f9173f1c49aee985bee6a
;TE;High Noon;;85;1952;1892-07-11;Thomas Mitchell;Elizabeth, New Jersey, USA;d9e6a7ae2363d6cfe81af75a3938454c;1-94f3e959819ebc9db9d680c205270129
;CD;Lilies of the Field;;94;1963;1896-11-28;Lilia Skala;Vienna, Austria;d9e6a7ae2363d6cfe81af75a391ad502;1-65a99eb4fa63e0f5160140d92b0e90c6
;ADRE;Stagecoach;;96;1939;1892-07-11;Thomas Mitchell;Elizabeth, New Jersey, USA;d9e6a7ae2363d6cfe81af75a39384b4f;1-95454de22f1b5dea8c503caea6dc2c66
;D;Grand Hotel;;112;1932;1878-04-28;Lionel Barrymore;Philadelphia, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a391b36de;1-f1c2d5981269f78bffc75ee3c1bcfea9
;D;Bad Girl;;90;1931;1908-12-11;Sally Eilers;New York, New York, USA;d9e6a7ae2363d6cfe81af75a39328da4;1-c94ed1d5fa0e40588daf62c5c7f58a26
;VCT;Topkapi;;119;1964;1921-04-16;Peter Ustinov;London, England, UK;d9e6a7ae2363d6cfe81af75a3929f3e1;1-cfbd4cd1950be05cd19752c8f4b80b5a
;D;Lost Weekend, The;;101;1945;1909-03-07;Phillip Terry;San Francisco, California, USA;d9e6a7ae2363d6cfe81af75a392a6009;1-eecb2dbbea40a580f5143852fc6c515d
;DLR;West Side Story;;151;1961;1938-02-20;Richard Beymer;Avoca, Iowa, USA;d9e6a7ae2363d6cfe81af75a392d149f;1-cc3aedbec5518aa20d0ab8fd266dc4e0
;DW;Diary of Anne Frank, The;;180;1959;1938-02-20;Richard Beymer;Avoca, Iowa, USA;d9e6a7ae2363d6cfe81af75a392d1c2a;1-f1fdca58a311fc72a49c6713d102d364
;D;East of Eden;;115;1955;1935-11-05;Richard Davalos;New York, New York, USA;d9e6a7ae2363d6cfe81af75a392d3e52;1-1a1d940c2d6c74fccd0704a7599aa666
;D;Crash;;113;2004;1964-07-26;Sandra Bullock;Arlington, Virginia, USA;d9e6a7ae2363d6cfe81af75a39330924;1-380f11f7b8a39636a73c74e2f672763a
;DR;Heiress, The;;115;1949;1902-12-19;Ralph Richardson;Tivoli Road, Cheltenham, Gloucestershire, England, UK;d9e6a7ae2363d6cfe81af75a392ba321;1-caedeae541951dbd97719d984a2b9b6e
;D;Judgment at Nuremberg;;178;1961;1914-12-26;Richard Widmark;Sunrise, Minnesota, USA;d9e6a7ae2363d6cfe81af75a392e0b62;1-b37c58814b40e6342fa1397c46cded5f
;D;Anastasia;;105;1956;1900-01-30;Martita Hunt;Buenos Aires, Argentina;d9e6a7ae2363d6cfe81af75a391ed3d0;1-c795270a64063ec16ce66c3c32f9c2d0
;CR;Two Arabian Knights;;90;1927;1906-05-03;Mary Astor;Quincy, Illinois, USA;d9e6a7ae2363d6cfe81af75a391eeab3;1-3a055b6661b9e57fdbcb1b1ca5c28b10
;D;Sweet Bird of Youth;;120;1962;1931-02-06;Rip Torn;Temple, Texas, USA;d9e6a7ae2363d6cfe81af75a392e3d1b;1-69b9feb03f3178b19c3aef7f1be8f5d3
;DRW;Mrs. Miniver;;134;1942;1887-08-05;Reginald Owen;Wheathampstead, Hertfordshire, England, UK;d9e6a7ae2363d6cfe81af75a392c79ae;1-a8907057d0c7fb3d63b7291288c597d4
;D;Morning Glory;;74;1933;1895-08-13;Mary Duncan;Luttrellville, Virginia, USA;d9e6a7ae2363d6cfe81af75a391f062c;1-b28e606403388c4dad039e919eeb42f0
;D;Private Life of Henry VIII., The;;97;1933;1905-03-18;Robert Donat;Withington, Manchester, England, UK;d9e6a7ae2363d6cfe81af75a392ebd8e;1-bd3feb03abb8b40dde18135ae5c17e93
;DR;Place in the Sun, A;;122;1951;1922-08-18;Shelley Winters;East Saint Louis, Illinois, USA;d9e6a7ae2363d6cfe81af75a39343ec5;1-a7bda8e960fc522aa4082a5cb521cf96
;D;Cool Hand Luke;;126;1967;1938-11-21;Robert Drivas;Chicago, Illinois, USA;d9e6a7ae2363d6cfe81af75a392ef88c;1-43933cbb0b9c5574004f8ca39734971f
;DW;Diary of Anne Frank, The;;180;1959;1922-08-18;Shelley Winters;East Saint Louis, Illinois, USA;d9e6a7ae2363d6cfe81af75a3934434d;1-e5a332edc515e4a6b7c25684f4e02e5f
;D;Patch of Blue, A;;105;1965;1922-08-18;Shelley Winters;East Saint Louis, Illinois, USA;d9e6a7ae2363d6cfe81af75a39344b40;1-79e5ab941e5a0f8318c0ee66baf13e2b
;D;V.I.P.s, The;;119;1963;1925-11-10;Richard Burton;Pontrhydyfen, Wales, UK;d9e6a7ae2363d6cfe81af75a392d2308;1-9076935004a8f3026c6055b0ceb5e8ba
;D;Elmer Gantry;;146;1960;1934-03-31;Shirley Jones;Charleroi, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a39348db7;1-acf055ce4068dfbe42879397c1d7b3ff
;DE;Cimarron;;131;1931;1893-07-18;Richard Dix;St. Paul, Minnesota, USA;d9e6a7ae2363d6cfe81af75a392d4328;1-faf46f8869e827ad6de78a7b37a2b047
;DM;In the Heat of the Night;;109;1967;1927-02-20;Sidney Poitier;Miami, Florida, USA;d9e6a7ae2363d6cfe81af75a3934d9bd;1-a43a13221e78770515345afd5d0edd93
;CD;Guess Who's Coming to Dinner;;108;1967;1927-02-20;Sidney Poitier;Miami, Florida, USA;d9e6a7ae2363d6cfe81af75a3934e9b2;1-7338d1b9dde050214d0a852cafb3d80b
;VC;Around the World in Eighty Days;;188;1956;1908-05-26;Robert Morley;Semley, Wiltshire, England, UK;d9e6a7ae2363d6cfe81af75a392f7010;1-b69cdf2b082f98acc7d80d1ccb680b67
;CD;Lilies of the Field;;94;1963;1927-02-20;Sidney Poitier;Miami, Florida, USA;d9e6a7ae2363d6cfe81af75a3934f848;1-59da93a46e40a089964a019de55feb22
;DHT;Rosemary's Baby;;136;1968;1901-06-03;Maurice Evans;Dorchester, Dorset, England, UK;d9e6a7ae2363d6cfe81af75a39201274;1-b98138810d80648dd982e3fe8467ea3d
;VCT;Topkapi;;119;1964;1930-12-08;Maximilian Schell;Vienna, Austria;d9e6a7ae2363d6cfe81af75a39204e08;1-42d084d45d3287d5474d1e009fa738d7
;D;Man for All Seasons, A;;120;1966;1927-08-09;Robert Shaw;Westhoughton, Lancashire, England, UK;d9e6a7ae2363d6cfe81af75a392fc8d3;1-0b1d343e31596521ca5985bc86c02bd1
;D;Yankee Doodle Dandy;;126;1942;1906-06-04;Richard Whorf;Winthrop, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a392e05e5;1-50d28a3476c389bb41348c1fddbcb79d
;D;Alexis Zorbas;;142;1964;1940-01-01;Sotiris Moustakas;Lemessos, Cyprus;d9e6a7ae2363d6cfe81af75a39357600;1-2b4657ff89ccb46da54a6e52d739c197
;VCT;Topkapi;;119;1964;1920-10-18;Melina Mercouri;Athens, Greece;d9e6a7ae2363d6cfe81af75a3920d62b;1-dbc36daca62d65dc0a1c47f8f6737528
;DW;Sergeant York;;134;1941;1891-07-17;Stanley Ridges;Southampton, Hampshire, England, UK;d9e6a7ae2363d6cfe81af75a3935c1db;1-dcacda1093a7495d1aaecce6356594a9
;D;All the King's Men;;109;1949;1918-03-17;Mercedes McCambridge;Joliet, Illinois, USA;d9e6a7ae2363d6cfe81af75a3920f279;1-227f605f16acbfd6eb4692896f185f8b
;DR;How Green Was My Valley;;118;1941;1928-09-17;Roddy McDowall;Herne Hill, London, England, UK;d9e6a7ae2363d6cfe81af75a3930bdc9;1-817bb99cb99c24c2c2c3c5b5b4050340
;D;To Each His Own;;122;1946;1900-08-21;Roland Culver;London, England, UK;d9e6a7ae2363d6cfe81af75a3930dcb9;1-6db7704a14884fdad57e750fad8a1ddc
;VC;Around the World in Eighty Days;;188;1956;1886-03-25;Ronald Squire;Tiverton, Devon, England, UK;d9e6a7ae2363d6cfe81af75a393134ad;1-45059f82e2a7a7e1d7f27c7b55de6f28
;D;Come and Get It;;99;1936;1894-07-25;Walter Brennan;Swampscott, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a393d755f;1-5ff222076eb480ecd928804b68c56227
;D;Good Earth, The;;138;1937;1887-04-08;Walter Connolly;Cincinnati, Ohio, USA;d9e6a7ae2363d6cfe81af75a393d7ca8;1-c69267081ec17b4fab40fa929fe4e714
;VCR;It Happened One Night;;105;1934;1887-04-08;Walter Connolly;Cincinnati, Ohio, USA;d9e6a7ae2363d6cfe81af75a393d7eb0;1-88bff76550a34fae7f6027eca9164444
;CE;Cat Ballou;;97;1965;1935-11-22;Michael Callan;Philadelphia, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a39219fc9;1-51aa6ecfe383014805fa5dc4d05d5187
;VD;Treasure of the Sierra Madre, The;;126;1948;1884-04-06;Walter Huston;Toronto, Ontario, Canada;d9e6a7ae2363d6cfe81af75a393d9de7;1-54509a0d48960ff8a3da827bf5f06d9a
;CDR;Fortune Cookie, The;;125;1966;1920-10-01;Walter Matthau;New York City, New York, USA;d9e6a7ae2363d6cfe81af75a393daa05;1-41e127bc47e46f7058f6a32c56062035
;VD;Captains Courageous;;115;1937;1901-04-05;Melvyn Douglas;Macon, Georgia, USA;d9e6a7ae2363d6cfe81af75a3920ed9d;1-40303f8d4f7800269d742520fc136305
;D;Come Back, Little Sheba;;99;1952;1929-01-07;Terry Moore;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a3937d50b;1-e74ab3683bec6ae5334ff7129bfe154e
;VR;Anthony Adverse;;141;1936;1916-07-01;Olivia de Havilland;Tokyo, Japan;d9e6a7ae2363d6cfe81af75a39263c8c;1-126c852efb7a80003ca86cf6a1557861
;D;To Each His Own;;122;1946;1916-07-01;Olivia de Havilland;Tokyo, Japan;d9e6a7ae2363d6cfe81af75a3926551d;1-bfbd856ec0f50713c3fb25be31f581f6
;D;Good Earth, The;;138;1937;1904-11-15;Tilly Losch;Vienna, Austria;d9e6a7ae2363d6cfe81af75a39389a9b;1-12c18a0ec0c88d689999c5e7c0f04220
;D;Man for All Seasons, A;;120;1966;1915-05-06;Orson Welles;Kenosha, Wisconsin, USA;d9e6a7ae2363d6cfe81af75a3926a420;1-d64b9348fa1ad3e650b5d93864b7a69e
;DR;Sayonara;;147;1957;1925-01-17;Patricia Owens;Golden, British Columbia, Canada;d9e6a7ae2363d6cfe81af75a39274643;1-5250f71597dec43bc784b7f491955023
;D;Bad Girl;;90;1931;1901-03-13;Paul Fix;Dobbs Ferry, New York, USA;d9e6a7ae2363d6cfe81af75a392805f8;1-aec417ec36255d3adc75a604a59160ff
;MT;Suspicion;;99;1941;1895-02-14;Nigel Bruce;Ensenada, Mexico;d9e6a7ae2363d6cfe81af75a39258ae2;1-fd5da5011b6e94add66e277b20cc0a0f
;D;Watch on the Rhine;;114;1943;1895-05-26;Paul Lukas;Budapest, Austria-Hungary (now Budapest, Hungary);d9e6a7ae2363d6cfe81af75a3928569e;1-434f5e4e42290307ca3119437a458e29
;DLR;West Side Story;;151;1961;1934-12-30;Russ Tamblyn;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a393216f2;1-6c2230defc890a7cf9097a4b0af7144a
;D;Man for All Seasons, A;;120;1966;1922-01-21;Paul Scofield;Hurstpierpoint, West Sussex, England, UK;d9e6a7ae2363d6cfe81af75a3928c7ec;1-4e880fab3210a2e109bccf634877566e
;DR;On the Waterfront;;108;1954;1912-03-22;Karl Malden;Gary, Indiana, USA;d9e6a7ae2363d6cfe81af75a39152844;1-3262617a5bcea6e2b345d174ae8f7b88
;D;Morning Glory;;74;1933;1907-05-12;Katharine Hepburn;Hartford, Connecticut, USA;d9e6a7ae2363d6cfe81af75a3915b5c0;1-021e602a80cdf55ab187516402efca1c
;CDW;Stalag 17;;120;1953;1906-12-05;Otto Preminger;Vienna, Austria;d9e6a7ae2363d6cfe81af75a3926bc22;1-f2c9888a95478d53fbb7eabb45601ca9
;D;Miracle Worker, The;;106;1962;1893-07-25;Kathleen Comegys;Shreveport, Louisiana, USA;d9e6a7ae2363d6cfe81af75a3915ccc2;1-cca01efaa20bd5cbadae240928344fda
;CFY;Harvey;;104;1950;1928-03-18;Peggy Dow;Columbia, Mississippi, USA;d9e6a7ae2363d6cfe81af75a392906fa;1-0ebf84d9ed7e65de986f4c859acf67ac
;DT;Who's Afraid of Virginia Woolf?;;134;1966;1937-04-27;Sandy Dennis;Hastings, Nebraska, USA;d9e6a7ae2363d6cfe81af75a3933098d;1-165ca1bff80c2baeeb166d0bb7545cf0
;D;Lust for Life;;122;1956;1917-07-08;Pamela Brown;London, England, UK;d9e6a7ae2363d6cfe81af75a3926f200;1-c06d84d13e59401ff8af0bbced733bca
;D;To Kill a Mockingbird;;129;1962;1948-09-11;Phillip Alford;Gadsden, Alabama, USA;d9e6a7ae2363d6cfe81af75a392a546f;1-219edf5e97fea9e195bd5fe9d8038361
;D;To Each His Own;;122;1946;1909-03-07;Phillip Terry;San Francisco, California, USA;d9e6a7ae2363d6cfe81af75a392a6c8d;1-837e78e9e15200ee63eb0ced1f955987
;D;Informer, The;;91;1935;1900-08-24;Preston Foster;Ocean City, New Jersey, USA;d9e6a7ae2363d6cfe81af75a392ad762;1-a2c755f2dd2af9fbd62de30090740fe3
;D;Streetcar Named Desire, A;;122;1951;1922-11-12;Kim Hunter;Detroit, Michigan, USA;d9e6a7ae2363d6cfe81af75a3917a62c;1-b4fa23aac1b96838abcf800bd9815a69
;D;Miracle Worker, The;;106;1962;1946-12-14;Patty Duke;Elmhurst, New York, USA;d9e6a7ae2363d6cfe81af75a3927c52e;1-d100c4366c24d8a0b6605bd707d34673
;CDR;Apartment, The;;125;1960;1934-04-24;Shirley MacLaine;Richmond, Virginia, USA;d9e6a7ae2363d6cfe81af75a3934a0d3;1-50936e92948219cc05f66b0303d1bb0a
;DHT;Rosemary's Baby;;136;1968;1895-07-13;Sidney Blackmer;Salisbury, North Carolina, USA;d9e6a7ae2363d6cfe81af75a3934bca7;1-83d21b2508170ebe25a2d5b1ec472ddc
;DR;Johnny Eager;;107;1942;1921-02-08;Lana Turner;Wallace, Idaho, USA;d9e6a7ae2363d6cfe81af75a3918975a;1-4825873f83eee3a7f0d380db433904c4
;D;Patch of Blue, A;;105;1965;1927-02-20;Sidney Poitier;Miami, Florida, USA;d9e6a7ae2363d6cfe81af75a3934ca81;1-7e4557c5c4c405660fca0ec1e17cebce
;D;I Want to Live!;;120;1958;1915-08-28;Simon Oakland;New York, New York, USA;d9e6a7ae2363d6cfe81af75a393523fd;1-59c2952e3178920ce7c2927268aba8c3
;DT;Key Largo;;101;1948;1924-09-16;Lauren Bacall;New York, New York, USA;d9e6a7ae2363d6cfe81af75a3918e3b5;1-7c59b0455439de15a02cd4a95cdf096a
;D;Room at the Top;;115;1959;1921-03-25;Simone Signoret;Wiesbaden, Germany;d9e6a7ae2363d6cfe81af75a39352e3c;1-cc58feabf1d17b9c607f277626043be0
;D;Room at the Top;;115;1959;1928-10-01;Laurence Harvey;Jonischkis, Lithuania;d9e6a7ae2363d6cfe81af75a39190acc;1-8d97dfaea4d36dc2f69f496f0af1d276
;D;Judgment at Nuremberg;;178;1961;1900-04-05;Spencer Tracy;Milwaukee, Wisconsin, USA;d9e6a7ae2363d6cfe81af75a39358343;1-0ecabab0f8192e5366f8183d6ea61ecf
;D;Sweet Bird of Youth;;120;1962;1925-01-26;Paul Newman;Shaker Heights, Ohio, USA;d9e6a7ae2363d6cfe81af75a392882d1;1-72f8ef749d0f02598df97f6df1db72e0
;D;Cool Hand Luke;;126;1967;1925-01-26;Paul Newman;Shaker Heights, Ohio, USA;d9e6a7ae2363d6cfe81af75a39289608;1-a68aec41876682254b8559a9dd3e381c
;D;Man for All Seasons, A;;120;1966;1920-03-16;Leo McKern;Sydney, New South Wales, Australia;d9e6a7ae2363d6cfe81af75a3919de10;1-c180b60f9d203ac0a64f959cf5da954a
;DR;Kentucky;;95;1938;1918-08-25;Richard Greene;Plymouth, Devon, England, UK;d9e6a7ae2363d6cfe81af75a392d883c;1-ab89e6d489555b19e11dd8ef3796b803
;D;Alexis Zorbas;;142;1964;1918-10-09;Lila Kedrova;Petrograd, Soviet Union (now St. Petersburg, Russia);d9e6a7ae2363d6cfe81af75a391ac6a9;1-3800baa1f162f19dbefbb2d560b2c4f7
;D;Goodbye, Mr. Chips;;114;1939;1905-03-18;Robert Donat;Withington, Manchester, England, UK;d9e6a7ae2363d6cfe81af75a392ec3c6;1-e912764ddce7dc0ec5c4e492929b5f2d
;CR;You Can't Take It with You;;126;1938;1878-04-28;Lionel Barrymore;Philadelphia, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a391b4fa0;1-02ff7e758c69a0db8e47e8aef600efe9
;D;To Kill a Mockingbird;;129;1962;1931-01-05;Robert Duvall;San Diego, California, USA;d9e6a7ae2363d6cfe81af75a392f1ed2;1-12a6e714bd7d95549ef15a6b9a112d1c
;TE;High Noon;;85;1952;1913-01-15;Lloyd Bridges;San Leandro, California, USA;d9e6a7ae2363d6cfe81af75a391bbc87;1-74ebf63db8a9ed980f5e8e9c986b7adc
;DLR;West Side Story;;151;1961;1931-12-11;Rita Moreno;Humacao, Puerto Rico;d9e6a7ae2363d6cfe81af75a392e5161;1-c8266cd54885e8ad7282ebcd13fbbadd
;D;Cool Hand Luke;;126;1967;1934-01-23;Lou Antonio;Oklahoma City, Oklahoma, USA;d9e6a7ae2363d6cfe81af75a391c119a;1-e88541d7695185d74ad6b356817410af
;CDF;Skippy;;85;1931;1924-12-13;Robert Coogan;Glendale, California, USA;d9e6a7ae2363d6cfe81af75a392e8d07;1-9974ecc2d744c17c50cef4b8f60eab3f
;D;Goodbye, Mr. Chips;;114;1939;1926-11-25;Terry Kilburn;London, England, UK;d9e6a7ae2363d6cfe81af75a3937c54c;1-238a51ce7b7506d11a5bbeb36edce763
;VCRW;African Queen, The;;105;1951;1924-05-02;Theodore Bikel;Vienna, Austria;d9e6a7ae2363d6cfe81af75a3938104e;1-f469ed78040e3ed7876acf8410418b49
;D;Watch on the Rhine;;114;1943;1879-05-27;Lucile Watson;Quebec, Canada;d9e6a7ae2363d6cfe81af75a391c4ea0;1-33ec62ba74a4927567989b36d341a998
;D;Good Earth, The;;138;1937;1910-01-12;Luise Rainer;Dusseldorf, Germany;d9e6a7ae2363d6cfe81af75a391c69a2;1-aa7e74706c1ed2ebbbf0ecfe5357d98d
;D;Informer, The;;91;1935;1911-02-20;Margot Grahame;Canterbury, Kent, England, UK;d9e6a7ae2363d6cfe81af75a391d7cb7;1-70936afd3624d1073072ee6a1f577c40
;VCRW;African Queen, The;;105;1951;1908-05-26;Robert Morley;Semley, Wiltshire, England, UK;d9e6a7ae2363d6cfe81af75a392f5dc3;1-b857e6d949b490458a0cc6d9a3f8975d
;VCT;Topkapi;;119;1964;1908-05-26;Robert Morley;Semley, Wiltshire, England, UK;d9e6a7ae2363d6cfe81af75a392f6709;1-845b9f80bc78929b24a5b269c449fbbd
;VD;Treasure of the Sierra Madre, The;;126;1948;1918-02-05;Tim Holt;Beverly Hills, Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a3938ef21;1-0ff49dc20d370d9398c5f3f2870c0a79
;D;Written on the Wind;;99;1956;1919-01-13;Robert Stack;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a392fe23f;1-c5b41fcd18c939b948231f7f1507eb65
;D;Streetcar Named Desire, A;;122;1951;1924-04-03;Marlon Brando;Omaha, Nebraska, USA;d9e6a7ae2363d6cfe81af75a391e6c66;1-7c225d8027ba97de1fe915307b61efa5
;CDW;Stalag 17;;120;1953;1913-11-08;Robert Strauss;New York, New York, USA;d9e6a7ae2363d6cfe81af75a392ff23a;1-92eb4ec1202718296deb643c81108787
;DR;On the Waterfront;;108;1954;1925-04-14;Rod Steiger;Westhampton, New York, USA;d9e6a7ae2363d6cfe81af75a3930af3e;1-f019b48702f1b193aafe6a50bb9eb1a6
;DR;Johnny Eager;;107;1942;1911-08-05;Robert Taylor;Filley, Nebraska, USA;d9e6a7ae2363d6cfe81af75a393000d1;1-8f44f9ebe3ce318b2ce2e5495fdb5712
;D;Champ, The;;87;1931;1895-01-20;Roscoe Ates;Grange, Missouri, USA;d9e6a7ae2363d6cfe81af75a3931737c;1-6f13ee7bb8e940088c3e463572b655ea
;D;Great Lie, The;;108;1941;1906-05-03;Mary Astor;Quincy, Illinois, USA;d9e6a7ae2363d6cfe81af75a391ee6e6;1-49ad80a0c0b090b2918cdf9884862d7f
;VCR;It Happened One Night;;105;1934;1891-09-07;Roscoe Karns;San Bernardino, California, USA. (usually erroneously given as 1893);d9e6a7ae2363d6cfe81af75a39317bbd;1-f1d88bc64953c6cd84c7246e98810de4
;D;To Kill a Mockingbird;;129;1962;1952-10-07;Mary Badham;Birmingham, Alabama, USA;d9e6a7ae2363d6cfe81af75a391ef6c7;1-491564a77d56f55b647531c6f5bc8775
;D;Written on the Wind;;99;1956;1925-11-17;Rock Hudson;Winnetka, Illinois, USA;d9e6a7ae2363d6cfe81af75a393091b1;1-01f5b2faa2335c9fd798649be37d2695
;DM;In the Heat of the Night;;109;1967;1925-04-14;Rod Steiger;Westhampton, New York, USA;d9e6a7ae2363d6cfe81af75a3930a1e8;1-68baba2950a7c7c5cdafa9db270182cc
